,external_ref,status,source,ref,date_time,state,cvv_provided,amount,country,currency,chargeback,amount_USD,local_time,Year,Month,Day
50,yJ_BuRV3ThK9i5Yyzi5pL,True,GLOBALPAY,evt_1E8Iz0xF-HZ38nZv2Qp3aFq,2019-01-02T00:00:00.000Z,ACCEPTED,False,1706.84,CA,CAD,False,2425.25,2019-01-02 00:00:00,2019,1,2
51,DgiK1CGWAFsI7xFQQcnao,True,GLOBALPAY,evt_1EwqG3rRGSeo58s6xFwIzDJ,2019-01-02T04:48:00.000Z,ACCEPTED,False,2035.78,CA,CAD,True,2892.64,2019-01-02 04:48:00,2019,1,2
52,LXVEQP3MCOdWMEVFxgTAI,True,GLOBALPAY,evt_1EGgrCb_CbiOKfmoNOtGrpI,2019-01-02T09:36:00.000Z,ACCEPTED,False,2087.17,CA,CAD,True,2965.66,2019-01-02 09:36:00,2019,1,2
53,cqLpDDx21jE4WVGVvkyY1,True,GLOBALPAY,evt_1EIH6IBrf6vmoAZhwIPZ-oo,2019-01-02T14:24:00.000Z,ACCEPTED,False,2748.28,CA,CAD,True,3905.03,2019-01-02 14:24:00,2019,1,2
54,t7jcfJMycO1crYV8CI6Qm,True,GLOBALPAY,evt_1EuWCWbBnjTXYPxD5TuGC1p,2019-01-02T19:12:00.000Z,ACCEPTED,False,3374.03,CA,CAD,True,4794.16,2019-01-02 19:12:00,2019,1,2
55,clpSnhixFiWkMaBpWemLl,True,GLOBALPAY,evt_1E6FBGAn5p1TyjPC655XzlO,2019-01-02T00:00:00.000Z,ACCEPTED,False,2451.95,AE,USD,True,2451.95,2019-01-02 00:00:00,2019,1,2
56,EP9vcj8u1HmGb8iVXGXPm,True,GLOBALPAY,evt_1EpajOWYTL8sssW-1VHwUO3,2019-01-02T04:48:00.000Z,ACCEPTED,False,2835.55,AE,USD,True,2835.55,2019-01-02 04:48:00,2019,1,2
57,CNay9vG2CKGVuZp3J82ZA,True,GLOBALPAY,evt_1EqCPKpoxJBJSLmsTEBnM92,2019-01-02T09:36:00.000Z,ACCEPTED,False,3301.72,AE,USD,False,3301.72,2019-01-02 09:36:00,2019,1,2
58,gIQwaSgq7oiVnBaNF4rPS,True,GLOBALPAY,evt_1EPcUFNPrSahy4zGYA7oNG6,2019-01-02T14:24:00.000Z,ACCEPTED,False,3175.36,AE,USD,True,3175.36,2019-01-02 14:24:00,2019,1,2
59,LJYz6S2CdFmHPsqx7vp8_,True,GLOBALPAY,evt_1Eo21cGutPsJSwPorj3a8Jl,2019-01-02T19:12:00.000Z,ACCEPTED,False,3033.41,AE,USD,True,3033.41,2019-01-02 19:12:00,2019,1,2
60,IroRBWyG_s_FwDVZy2XPQ,True,GLOBALPAY,evt_1E170drJfHysbD8DbRTcyKf,2019-01-03T00:00:00.000Z,ACCEPTED,False,3697.78,US,USD,True,3697.78,2019-01-03 00:00:00,2019,1,3
61,haT-Xg9MZ3VW-VpOj3a8m,True,GLOBALPAY,evt_1ELkeB5A4t-2Fo-Bwv5D3hg,2019-01-03T04:48:00.000Z,ACCEPTED,False,3685.7,US,USD,True,3685.7,2019-01-03 04:48:00,2019,1,3
62,WnzaaolKcDnhr9Us8nMiO,True,GLOBALPAY,evt_1E85hXz36LeB6STrTBJLKFe,2019-01-03T09:36:00.000Z,ACCEPTED,False,3857.86,US,USD,True,3857.86,2019-01-03 09:36:00,2019,1,3
63,ZwRYCK6gPk6MVt5dxpWev,True,GLOBALPAY,evt_1EsJ1Kf-hSD4VooPyBTM54-,2019-01-03T14:24:00.000Z,DECLINED,False,4101.37,US,USD,False,4101.37,2019-01-03 14:24:00,2019,1,3
64,xu1Po5sQr30t_mABUsRBl,True,GLOBALPAY,evt_1E7_Y9dbR5TcmZWpbSfo47M,2019-01-03T19:12:00.000Z,DECLINED,False,3936.57,US,USD,False,3936.57,2019-01-03 19:12:00,2019,1,3
65,pN-NrYthCv4ffSU2KAkyU,True,GLOBALPAY,evt_1ERqiEA9uNONlrEJgP0t-SV,2019-01-03T00:00:00.000Z,ACCEPTED,False,3910.25,MX,MXN,True,98068.46,2019-01-03 00:00:00,2019,1,3
66,F3NumyrteMRXlR7TIIO6X,True,GLOBALPAY,evt_1EcqndP-5jZ0KZND-r6d75Z,2019-01-03T04:48:00.000Z,DECLINED,False,3744.67,MX,MXN,False,93915.74,2019-01-03 04:48:00,2019,1,3
67,oaGQi8dOvK-Nojt3-Z253,True,GLOBALPAY,evt_1EMPrgiS0uW9IBlKAyUULwY,2019-01-03T09:36:00.000Z,ACCEPTED,False,3959.68,MX,MXN,True,99308.15,2019-01-03 09:36:00,2019,1,3
68,7ut4wt5T2BHVRmBTrGZ5q,True,GLOBALPAY,evt_1Ea_ICaQKcV35aSdE4eXXW8,2019-01-03T14:24:00.000Z,ACCEPTED,False,4420.73,MX,MXN,True,110871.22,2019-01-03 14:24:00,2019,1,3
69,GCw37XAhOL55MiXzU4RKm,True,GLOBALPAY,evt_1Egpz7zqcV0gopZcOUClIfq,2019-01-03T19:12:00.000Z,DECLINED,False,4121.37,MX,MXN,False,103363.31,2019-01-03 19:12:00,2019,1,3
70,A8MODI8tlBtLzBiAxFaB4,True,GLOBALPAY,evt_1EUMzbG7iTUOM4JcQlgUlwT,2019-01-03T00:00:00.000Z,DECLINED,False,461.65,UK,GBP,False,384.92,2019-01-03 00:00:00,2019,1,3
71,wQhcfjiMGKXbRBMtHx8o-,True,GLOBALPAY,evt_1EQXMwhee8wg2cT-S8pZ-xU,2019-01-03T04:48:00.000Z,ACCEPTED,False,210.39,UK,GBP,False,175.42,2019-01-03 04:48:00,2019,1,3
72,OSVHIahtQ8jhKsfH0KthP,True,GLOBALPAY,evt_1Eqrw1VXhfX_3Z-w7j649Xu,2019-01-03T09:36:00.000Z,DECLINED,False,479.22,UK,GBP,False,399.57,2019-01-03 09:36:00,2019,1,3
73,o93lkQZcfB24ytA8AtqLe,True,GLOBALPAY,evt_1EqpawYjR28PpnNWU8EUwK0,2019-01-03T14:24:00.000Z,DECLINED,False,534.56,UK,GBP,False,445.71,2019-01-03 14:24:00,2019,1,3
74,Q1gmXV4ZcQP3pcg4H0Nhs,True,GLOBALPAY,evt_1EZZeA4XUziEi2gJDRhEEjJ,2019-01-03T19:12:00.000Z,ACCEPTED,False,663.41,UK,GBP,False,553.15,2019-01-03 19:12:00,2019,1,3
75,sJoIGj0y7pY5TV2m0-qp8,True,GLOBALPAY,evt_1EI64EjtWP7L4OMIA7wETXu,2019-01-03T00:00:00.000Z,ACCEPTED,False,2831.83,FR,EUR,True,2586.13,2019-01-03 00:00:00,2019,1,3
76,eJv1Q9CUR21Sulgb3EIaq,True,GLOBALPAY,evt_1ESPjYVRtJMfrvj5mDXjtG3,2019-01-03T04:48:00.000Z,ACCEPTED,False,3036.85,FR,EUR,True,2773.36,2019-01-03 04:48:00,2019,1,3
77,pwZVI7oHCc7ARiX52u079,True,GLOBALPAY,evt_1EyVF626E2-bWODn1pkcU7V,2019-01-03T09:36:00.000Z,ACCEPTED,True,3366.55,FR,EUR,True,3074.45,2019-01-03 09:36:00,2019,1,3
78,7L_6K4mlAEHA0rzce2oQA,True,GLOBALPAY,evt_1EjAD1pQYXCMVUC0pa3xhs5,2019-01-03T14:24:00.000Z,ACCEPTED,False,3803.42,FR,EUR,True,3473.42,2019-01-03 14:24:00,2019,1,3
79,UkMoGSc-SZVSgXRlHMnra,True,GLOBALPAY,evt_1Em1H9WaZr2jBuj-KzwUTIq,2019-01-03T19:12:00.000Z,ACCEPTED,False,3594.62,FR,EUR,True,3282.74,2019-01-03 19:12:00,2019,1,3
80,Itw9pMU3cRGyE8VwDnTG9,True,GLOBALPAY,evt_1EAK4JKbSDU7zE7Tsr4S9V1,2019-01-03T00:00:00.000Z,ACCEPTED,False,3907.4,CA,CAD,True,5515.71,2019-01-03 00:00:00,2019,1,3
81,L4JrMJb8Ch5zWx62htOZj,True,GLOBALPAY,evt_1ENuPFzxRZHPJfDFnDLTAu8,2019-01-03T04:48:00.000Z,ACCEPTED,False,3668.57,CA,CAD,True,5178.57,2019-01-03 04:48:00,2019,1,3
82,1ld_vshleiyZlUnanUQuc,True,GLOBALPAY,evt_1E_0lY4EsHNvQUS4-OYViKl,2019-01-03T09:36:00.000Z,DECLINED,False,3803.77,CA,CAD,False,5369.42,2019-01-03 09:36:00,2019,1,3
83,iP6IF-CoWP2xHUGJz8RWe,True,GLOBALPAY,evt_1EfJIK4xJY3uXUzkkf3pvT-,2019-01-03T14:24:00.000Z,DECLINED,False,3580.59,CA,CAD,False,5054.38,2019-01-03 14:24:00,2019,1,3
84,9UoEE367jaffIHtYzK-ru,True,GLOBALPAY,evt_1E_plcFURY-tZ1lk9BX-SEC,2019-01-03T19:12:00.000Z,ACCEPTED,False,3537.34,CA,CAD,True,4993.33,2019-01-03 19:12:00,2019,1,3
85,obZW9g8JWOc75rVu1PWZh,True,GLOBALPAY,evt_1Ey2sZDfIXKgwVlqGlFsO4r,2019-01-03T00:00:00.000Z,DECLINED,False,3211.65,AE,USD,False,3211.65,2019-01-03 00:00:00,2019,1,3
86,fx_NZ8ZffCkbxtZ-2vnyO,True,GLOBALPAY,evt_1EoY9eWIjefBBqKVvIfAk80,2019-01-03T04:48:00.000Z,ACCEPTED,False,3631.43,AE,USD,True,3631.43,2019-01-03 04:48:00,2019,1,3
87,jqc1IhJJGGfCBQjjBxxid,True,GLOBALPAY,evt_1E8fV98bq4dvE9Jw70x4KML,2019-01-03T09:36:00.000Z,ACCEPTED,False,3910.68,AE,USD,True,3910.68,2019-01-03 09:36:00,2019,1,3
88,VthSePU0v5REfhyRDHhjI,True,GLOBALPAY,evt_1ECOry5_Cd3CBnv5vsTYWjG,2019-01-03T14:24:00.000Z,ACCEPTED,False,3682.84,AE,USD,True,3682.84,2019-01-03 14:24:00,2019,1,3
89,IbrRwEE-OMzXmKrpyS-uF,True,GLOBALPAY,evt_1E6M1omglW0x8Pheq8qthZw,2019-01-03T19:12:00.000Z,ACCEPTED,False,3945.4,AE,USD,False,3945.4,2019-01-03 19:12:00,2019,1,3
90,qoBn5WroAU7Ei1mU6Ll3p,True,GLOBALPAY,evt_1E7VKbm2PKQwnZk5kzFupbd,2019-01-04T00:00:00.000Z,ACCEPTED,False,3915.76,US,USD,True,3915.76,2019-01-04 00:00:00,2019,1,4
91,skYE6_23jxxikbIwgZtxB,True,GLOBALPAY,evt_1EqX0WAxx1oG8U1eHcXMda7,2019-01-04T04:48:00.000Z,ACCEPTED,False,4582.31,US,USD,True,4582.31,2019-01-04 04:48:00,2019,1,4
92,PCPB7ijTJ9Ek3DSbnDgXu,True,GLOBALPAY,evt_1EaweKF8-0DLZ2QonvWtYsl,2019-01-04T09:36:00.000Z,ACCEPTED,False,5122.4,US,USD,False,5122.4,2019-01-04 09:36:00,2019,1,4
93,a-pZBvZcAvnaEtWY79LDe,True,GLOBALPAY,evt_1EPgS94mx8-ZFx1HRG93ZEf,2019-01-04T14:24:00.000Z,DECLINED,False,5225.38,US,USD,False,5225.38,2019-01-04 14:24:00,2019,1,4
94,RBQg9xr6aGpy6BPpY6aLc,True,GLOBALPAY,evt_1E7nG1HXei3xnTXNypZ8U1V,2019-01-04T19:12:00.000Z,DECLINED,False,5670.14,US,USD,False,5670.14,2019-01-04 19:12:00,2019,1,4
95,vh1m60bWottJQKq_ixwg1,True,GLOBALPAY,evt_1EhwDuVmcxXzqiSrVBeKzN1,2019-01-04T00:00:00.000Z,ACCEPTED,False,3924.41,MX,MXN,True,98444.07,2019-01-04 00:00:00,2019,1,4
96,xUosizV48IzUFye5Jzf6h,True,GLOBALPAY,evt_1EwRy7xH0eAWnEYJN24F9S1,2019-01-04T04:48:00.000Z,ACCEPTED,False,3683.23,MX,MXN,False,92394.06,2019-01-04 04:48:00,2019,1,4
97,iRtcg_FsVRcmOPh4iEo-D,True,GLOBALPAY,evt_1ELwFLNmrJrpntv8_prCxVu,2019-01-04T09:36:00.000Z,DECLINED,False,3433.09,MX,MXN,False,86119.28,2019-01-04 09:36:00,2019,1,4
98,NR2RmUyWFiv9oE8_ASaGq,True,GLOBALPAY,evt_1EFNjZJ3NGlg8vmE20iDddS,2019-01-04T14:24:00.000Z,ACCEPTED,False,3199.01,MX,MXN,True,80247.37,2019-01-04 14:24:00,2019,1,4
99,UNQF_9OSDfOfuwgxy7dNL,True,GLOBALPAY,evt_1EXJ7IFrclCCIak4FoY3K3S,2019-01-04T19:12:00.000Z,DECLINED,False,2990.01,MX,MXN,False,75004.59,2019-01-04 19:12:00,2019,1,4
100,J9f3RBQFd4bwFFYEhZH7C,True,GLOBALPAY,evt_1EeJWKLp7Zh6ec7RbPss6tD,2019-01-04T00:00:00.000Z,ACCEPTED,False,586.39,UK,GBP,True,486.82,2019-01-04 00:00:00,2019,1,4
101,MFzkw8O2HtsfwMpcLILg9,True,GLOBALPAY,evt_1EgDFXx7HWdUBTTBFTXG2t3,2019-01-04T04:48:00.000Z,ACCEPTED,False,416.55,UK,GBP,True,345.82,2019-01-04 04:48:00,2019,1,4
102,NtauOnRsLz6DNaM_woOGL,True,GLOBALPAY,evt_1EhaFXEzChwSR4vh4c5wiDa,2019-01-04T09:36:00.000Z,ACCEPTED,False,581.0,UK,GBP,True,482.35,2019-01-04 09:36:00,2019,1,4
103,QQDs3BsaemIp4EAI5TXFW,True,GLOBALPAY,evt_1EX6_unxkTU1VkG56yR8Him,2019-01-04T14:24:00.000Z,DECLINED,False,1108.17,UK,GBP,False,920.01,2019-01-04 14:24:00,2019,1,4
104,msF1NJA1cCfCvPAnOxAau,True,GLOBALPAY,evt_1EF-cwpLvHdyGaCQ_eobHgH,2019-01-04T19:12:00.000Z,ACCEPTED,False,921.54,UK,GBP,True,765.07,2019-01-04 19:12:00,2019,1,4
105,0tT1tmp3FRp2Hxdu-Eply,True,GLOBALPAY,evt_1Er3cvwIwWiJjy6MsldjPpY,2019-01-04T00:00:00.000Z,ACCEPTED,False,4167.99,FR,EUR,False,3778.54,2019-01-04 00:00:00,2019,1,4
106,qmFDUPi6q1DaJ8UY18KrG,True,GLOBALPAY,evt_1EixFtWZ-o87QIyEvXRS65o,2019-01-04T04:48:00.000Z,ACCEPTED,False,4574.86,FR,EUR,True,4147.39,2019-01-04 04:48:00,2019,1,4
107,nFRPMMXe2EXAibxX_Gmev,True,GLOBALPAY,evt_1EBXeWkt7n0QkqwcA3mSsTm,2019-01-04T09:36:00.000Z,DECLINED,False,5058.92,FR,EUR,False,4586.22,2019-01-04 09:36:00,2019,1,4
108,D5tx4dqHK8tQcBcumLCRM,True,GLOBALPAY,evt_1EB5gFF2KC9N-2s5ZmM9vTh,2019-01-04T14:24:00.000Z,ACCEPTED,False,5375.92,FR,EUR,True,4873.6,2019-01-04 14:24:00,2019,1,4
109,nVUCpwnmADBbmSLuZwnOW,True,GLOBALPAY,evt_1EkOyZplLMwBcNp-5GhDKZs,2019-01-04T19:12:00.000Z,DECLINED,False,5781.39,FR,EUR,False,5241.19,2019-01-04 19:12:00,2019,1,4
110,aR0h1Icyp6yuZ9gET-mAJ,True,GLOBALPAY,evt_1Eqdl50ygAj7h4oPU5e2qbH,2019-01-04T00:00:00.000Z,ACCEPTED,False,3774.13,CA,CAD,True,5311.79,2019-01-04 00:00:00,2019,1,4
111,enhDnlrnvNyPtoCKm2VMB,True,GLOBALPAY,evt_1EHxiQXBZpyq8uDseds0-UG,2019-01-04T04:48:00.000Z,ACCEPTED,False,4242.07,CA,CAD,True,5970.38,2019-01-04 04:48:00,2019,1,4
